idx,name,tokens,arith,cmp,bit,index,call,ret,loop,assign,reader,strings,nums,class
30,WC,129,0,2,0,1,2,1,1,7,,0,4,"loop/control, compare/branch, returns-value, mutates-state"
31,H,130,0,2,0,6,2,1,1,7,yes,0,8,"bytecode-reader, loop/control, compare/branch, table-index, returns-value, mutates-state"
32,ZC,80,3,1,0,9,1,1,0,2,,0,10,"arithmetic, table-index, returns-value"
33,EC,520,2,24,0,13,13,2,4,27,,0,49,"loop/control, compare/branch, table-index, call-heavy, returns-value, mutates-state"
34,cC,77,2,2,0,0,2,3,3,1,,0,7,"loop/control, compare/branch, returns-value"
35,rC,130,0,0,0,3,3,2,0,5,,0,3,"call-heavy, returns-value, mutates-state"
36,VC,129,0,2,0,4,4,1,1,9,,0,8,"loop/control, compare/branch, table-index, call-heavy, returns-value, mutates-state"
37,i4,13,0,0,0,1,0,1,0,0,,0,1,returns-value
38,Uo,439,13,10,0,44,8,3,1,11,,0,55,"loop/control, compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
39,S4,61,2,2,0,2,0,2,0,2,,0,7,"compare/branch, returns-value"
40,c,206,7,3,0,20,2,2,0,7,,0,22,"compare/branch, arithmetic, table-index, returns-value, mutates-state"
41,n4,104,1,1,0,3,3,2,2,4,,0,10,"loop/control, call-heavy, returns-value, mutates-state"
42,eC,26,0,0,0,3,0,0,0,1,,0,1,unclassified
43,J4,19,0,0,0,1,0,1,0,1,,0,1,returns-value
44,x4,307,17,0,0,17,6,1,2,21,,2,38,"loop/control, arithmetic, table-index, call-heavy, returns-value, mutates-state"
45,I4,87,1,1,0,3,3,2,0,4,,0,4,"call-heavy, returns-value, mutates-state"
46,A4,21,0,0,0,1,0,1,0,1,,0,1,returns-value
47,Lo,18,0,0,0,0,1,1,0,1,,0,0,returns-value
48,D4,53,2,2,0,2,1,2,0,1,,0,4,"compare/branch, returns-value"
49,wC,24,1,0,0,1,1,0,0,1,,0,0,unclassified
50,C,195,2,2,0,10,3,4,1,11,,0,14,"loop/control, compare/branch, table-index, call-heavy, returns-value, mutates-state"
51,q,68,2,1,0,6,2,1,0,2,,0,7,"table-index, returns-value"
52,X4,75,0,2,0,0,2,3,0,2,,0,4,"compare/branch, returns-value"
53,s4,19,0,0,0,1,0,1,0,1,,0,1,returns-value
54,BC,24,0,0,0,1,1,1,0,1,,0,1,returns-value
55,j4,38,0,0,0,3,1,1,0,2,,0,4,returns-value
56,W4,54,0,1,0,2,1,3,1,1,,0,6,"loop/control, returns-value"
57,d4,10,0,0,0,0,0,1,0,0,,0,0,returns-value
58,a4,19,0,0,0,1,0,1,0,0,,0,1,returns-value
59,v4,87,1,4,0,0,2,2,1,3,,0,6,"loop/control, compare/branch, returns-value, mutates-state"
60,IC,19,0,0,0,0,0,1,0,1,,0,0,returns-value
61,iC,14,0,0,0,0,0,1,0,1,,0,1,returns-value
62,Y4,95,0,3,0,5,2,1,1,4,,0,11,"loop/control, compare/branch, table-index, returns-value, mutates-state"
63,So,130,3,2,0,10,4,2,0,3,,0,12,"compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
